student_number,course,birthdate,nationality,civil_status,gender,municipality,payment_status,balance,has_scholarship,number_of_units_enrolled,academic_probation_status,last_term_GWA,will_graduate
25-2775,Information Systems (BS‑IS),2005-10-08,Filipino,Single,Female,Las Piñas,Paid,0,False,15,,3.5,Yes
25-9071,Business Intelligence & Analytics (BSBA‑BIA),2002-07-15,Filipino,Single,Female,Rodriguez,Paid,0,False,24,,2.0,No
25-7686,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2005-04-15,Filipino,Single,Female,Taguig,Paid,0,False,21,monitoring,4.0,No
25-3001,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2001-11-07,Filipino,Single,Male,Quezon City,Paid,0,False,18,,4.0,Yes
25-4394,Human Resource Management (BSBA‑HRM),2003-06-25,Filipino,Single,Male,Marikina,Paid,0,False,18,,3.0,Yes
25-2801,Information Systems (BS‑IS),2000-06-26,Filipino,Single,Male,Mandaluyong,Paid,0,False,24,,3.0,Yes
25-8802,Human Resource Management (BSBA‑HRM),2001-08-17,Filipino,Single,Female,Navotas,Paid,0,False,24,,3.5,Yes
25-2768,Human Resource Management (BSBA‑HRM),2001-02-11,Filipino,Single,Female,Cainta,Paid,0,False,21,,3.0,Yes
25-5831,Human Resource Management (BSBA‑HRM),2001-12-04,Filipino,Single,Male,Valenzuela,Paid,0,False,21,,3.5,Yes
25-2557,Business Solutions & Applications (BSBA‑BSAA),2004-06-05,Filipino,Single,Male,Makati,Paid,0,True,15,,3.5,Yes
25-3131,Human Resource Management (BSBA‑HRM),2005-11-04,Filipino,Single,Female,Quezon City,Paid,0,False,21,restrictions,4.0,No
25-8900,Business Solutions & Applications (BSBA‑BSAA),2005-02-25,Filipino,Single,Female,San Mateo,With Balance,30105,False,15,,3.0,Yes
25-5381,Business Intelligence & Analytics (BSBA‑BIA),2004-06-12,Filipino,Single,Female,Makati,Paid,0,False,15,restrictions,4.0,No
25-7878,Human Resource Management (BSBA‑HRM),2004-12-11,Filipino,Single,Male,Quezon City,With Balance,11630,False,15,,3.0,Yes
25-8957,Information Systems (BS‑IS),2003-09-04,Filipino,Single,Female,Antipolo,Paid,0,False,24,,4.0,Yes
25-4349,Business Solutions & Applications (BSBA‑BSAA),2002-05-10,Filipino,Single,Female,Mandaluyong,Paid,0,False,18,,2.0,No
25-6802,Business Intelligence & Analytics (BSBA‑BIA),2000-07-01,Filipino,Single,Female,Rodriguez,Paid,0,False,24,,3.5,Yes
25-6321,Business Intelligence & Analytics (BSBA‑BIA),2007-12-12,Filipino,Single,Male,Valenzuela,Paid,0,False,24,,3.0,Yes
25-4630,Business Solutions & Applications (BSBA‑BSAA),2001-09-17,Filipino,Single,Female,Bacoor,Paid,0,False,18,,4.0,Yes
25-3504,Cybersecurity (BSCSEC),2002-11-16,Filipino,Single,Female,Imus,Paid,0,False,21,,3.0,Yes
25-3473,Human Resource Management (BSBA‑HRM),2004-05-19,Filipino,Single,Female,Navotas,Paid,0,False,21,advising,3.0,No
25-9307,Human Resource Management (BSBA‑HRM),2000-08-26,Filipino,Single,Female,Antipolo,Paid,0,False,15,,2.0,No
25-2381,Human Resource Management (BSBA‑HRM),2003-12-15,American,Single,Male,Parañaque,Paid,0,False,24,,3.0,Yes
25-1857,Cybersecurity (BSCSEC),2001-06-04,Filipino,Single,Female,Imus,Paid,0,False,18,,3.0,Yes
25-3317,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2006-03-20,Filipino,Single,Female,Bacoor,With Balance,31958,False,15,,3.5,Yes
25-6928,Business Intelligence & Analytics (BSBA‑BIA),2003-06-25,Filipino,Single,Male,Pasig,Paid,0,True,15,,3.0,Yes
25-9626,Business Intelligence & Analytics (BSBA‑BIA),2002-10-13,Filipino,Single,Male,Navotas,Paid,0,True,21,,4.0,Yes
25-8277,Information Systems (BS‑IS),2007-04-18,Filipino,Single,Female,Caloocan,With Balance,24437,False,24,,3.0,Yes
25-9239,Human Resource Management (BSBA‑HRM),2003-10-05,Filipino,Single,Female,Parañaque,Paid,0,False,15,,3.0,Yes
25-5469,Human Resource Management (BSBA‑HRM),2006-02-08,Filipino,Single,Male,Valenzuela,Paid,0,True,21,,1.0,Yes
25-7142,Business Solutions & Applications (BSBA‑BSAA),2001-12-21,Filipino,Single,Male,Las Piñas,Paid,0,False,18,,3.5,Yes
25-1086,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2003-03-18,Filipino,Single,Female,Taguig,Paid,0,False,15,monitoring,3.0,No
25-8489,Business Intelligence & Analytics (BSBA‑BIA),2007-10-18,Filipino,Single,Male,Pasig,Paid,0,False,21,,3.5,Yes
25-2402,Human Resource Management (BSBA‑HRM),2000-07-28,Filipino,Single,Female,Marikina,Paid,0,False,15,,3.0,Yes
25-2698,Cybersecurity (BSCSEC),2005-03-02,Filipino,Single,Male,Imus,Paid,0,False,18,,4.0,Yes
25-8498,Business Intelligence & Analytics (BSBA‑BIA),2003-01-11,Filipino,Single,Female,Marikina,Paid,0,True,18,,2.0,Yes
25-1783,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2001-06-14,Filipino,Single,Female,Muntinlupa,Paid,0,False,24,,3.0,Yes
25-5369,Cybersecurity (BSCSEC),2001-07-20,American,Single,Female,Muntinlupa,Paid,0,False,21,,3.0,Yes
25-7981,Business Intelligence & Analytics (BSBA‑BIA),2007-01-24,Filipino,Single,Female,Marikina,With Balance,11879,False,15,,3.5,Yes
25-9406,Cybersecurity (BSCSEC),2000-03-28,Filipino,Single,Male,Pasig,Paid,0,True,21,,2.0,Yes
25-1530,Information Systems (BS‑IS),2005-06-15,Filipino,Single,Female,Pasay,Paid,0,False,15,advising,3.5,No
25-7340,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2004-12-15,Filipino,Single,Female,Caloocan,With Balance,24812,False,18,,3.5,Yes
25-2438,Cybersecurity (BSCSEC),2005-11-12,Filipino,Single,Female,Las Piñas,With Balance,32944,False,18,,3.0,Yes
25-2988,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2003-08-01,Filipino,Single,Female,San Mateo,With Balance,12154,False,21,,3.0,Yes
25-8842,Human Resource Management (BSBA‑HRM),2001-03-11,Filipino,Single,Female,Pasig,With Balance,30964,False,18,,4.0,Yes
25-9238,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2001-09-05,Filipino,Single,Male,Parañaque,Paid,0,False,21,,3.5,Yes
25-5496,Business Intelligence & Analytics (BSBA‑BIA),2001-09-21,Filipino,Single,Male,Mandaluyong,With Balance,29829,False,21,,3.0,Yes
25-1464,Business Intelligence & Analytics (BSBA‑BIA),2004-11-07,Filipino,Single,Male,Malabon,Paid,0,False,21,,2.0,No
25-7653,Business Solutions & Applications (BSBA‑BSAA),2000-03-15,Filipino,Single,Female,Cainta,With Balance,20463,False,21,,4.0,Yes
25-7070,Human Resource Management (BSBA‑HRM),2003-08-04,Filipino,Single,Male,Quezon City,Paid,0,False,24,,2.0,No
25-3616,Cybersecurity (BSCSEC),2005-04-25,Filipino,Married,Female,Malabon,Paid,0,False,15,,3.0,Yes
25-4944,Business Solutions & Applications (BSBA‑BSAA),2000-05-16,Filipino,Single,Female,Las Piñas,With Balance,24120,False,18,,3.0,Yes
25-7606,Human Resource Management (BSBA‑HRM),2003-06-18,Filipino,Single,Female,San Mateo,With Balance,32295,False,15,advising,3.5,No
25-6555,Human Resource Management (BSBA‑HRM),2002-04-20,Filipino,Single,Male,Quezon City,Paid,0,False,24,,4.0,Yes
25-9446,Business Intelligence & Analytics (BSBA‑BIA),2005-03-13,American,Single,Female,Rodriguez,With Balance,27443,False,24,,3.5,Yes
25-1272,Human Resource Management (BSBA‑HRM),2006-10-10,Filipino,Single,Male,Cainta,With Balance,35654,False,18,,3.0,Yes
25-3793,Human Resource Management (BSBA‑HRM),2006-03-27,Filipino,Single,Male,Caloocan,Paid,0,True,21,,3.5,Yes
25-4340,Human Resource Management (BSBA‑HRM),2007-12-24,Filipino,Single,Male,San Mateo,Paid,0,False,24,,4.0,Yes
25-9734,Business Solutions & Applications (BSBA‑BSAA),2004-10-16,Filipino,Single,Female,San Juan,With Balance,35269,False,21,,3.0,Yes
25-9011,Business Solutions & Applications (BSBA‑BSAA),2004-05-04,Filipino,Single,Female,Parañaque,With Balance,19517,False,15,,3.0,Yes
25-6674,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-04-07,Filipino,Single,Female,Pasig,With Balance,17840,False,18,restrictions,4.0,No
25-4814,Business Intelligence & Analytics (BSBA‑BIA),2007-02-22,Filipino,Single,Male,Valenzuela,With Balance,25587,False,24,,3.0,Yes
25-5706,Business Solutions & Applications (BSBA‑BSAA),2001-11-19,Filipino,Single,Male,Mandaluyong,With Balance,11190,False,24,,4.0,Yes
25-5742,Interactive Entertainment & Multimedia Computing (BS‑IEMC),1994-10-04,Filipino,Single,Female,Bacoor,Paid,0,False,18,,3.5,Yes
25-4159,Cybersecurity (BSCSEC),2007-11-09,Filipino,Single,Female,Las Piñas,With Balance,15750,False,24,,3.0,Yes
25-2421,Human Resource Management (BSBA‑HRM),2002-08-11,Filipino,Single,Female,San Juan,Paid,0,False,21,,3.0,Yes
25-1187,Business Solutions & Applications (BSBA‑BSAA),2003-01-22,Filipino,Single,Female,Imus,With Balance,33054,False,21,,3.0,Yes
25-5833,Human Resource Management (BSBA‑HRM),2002-08-05,Filipino,Married,Female,Valenzuela,With Balance,34816,False,18,,3.0,Yes
25-2341,Human Resource Management (BSBA‑HRM),2005-02-19,Filipino,Single,Male,Rodriguez,Paid,0,False,24,advising,3.0,No
25-9008,Business Intelligence & Analytics (BSBA‑BIA),2000-08-05,Filipino,Single,Male,San Mateo,With Balance,33700,False,15,,2.0,No
25-4570,Human Resource Management (BSBA‑HRM),2005-12-03,Filipino,Single,Male,Malabon,Paid,0,True,24,,4.0,Yes
25-7887,Human Resource Management (BSBA‑HRM),2007-07-13,Filipino,Single,Male,Bacoor,Paid,0,False,24,,3.0,Yes
25-4648,Cybersecurity (BSCSEC),2004-08-22,Filipino,Single,Female,San Juan,Paid,0,False,21,,2.0,No
25-2848,Business Intelligence & Analytics (BSBA‑BIA),2000-04-07,Filipino,Single,Female,Cainta,With Balance,18019,False,15,,4.0,Yes
25-4559,Cybersecurity (BSCSEC),2002-09-10,Filipino,Single,Female,Rodriguez,Paid,0,False,21,,2.0,No
25-9540,Business Solutions & Applications (BSBA‑BSAA),2000-09-19,Filipino,Single,Female,San Mateo,With Balance,31080,False,24,,3.5,Yes
25-7821,Human Resource Management (BSBA‑HRM),2002-09-16,Filipino,Single,Male,Navotas,Paid,0,False,24,,4.0,Yes
25-4978,Business Solutions & Applications (BSBA‑BSAA),2001-08-28,Filipino,Single,Male,Quezon City,Paid,0,False,15,,4.0,Yes
25-4555,Human Resource Management (BSBA‑HRM),2005-05-01,Filipino,Single,Male,Malabon,Paid,0,False,18,,4.0,Yes
25-6269,Cybersecurity (BSCSEC),2005-05-09,Filipino,Single,Female,Taguig,With Balance,34957,False,21,,3.5,Yes
25-7781,Business Intelligence & Analytics (BSBA‑BIA),2002-01-09,Filipino,Single,Female,Las Piñas,Paid,0,False,24,,4.0,Yes
25-6530,Business Solutions & Applications (BSBA‑BSAA),2007-08-06,Filipino,Single,Male,San Mateo,With Balance,27764,False,15,,2.0,No
25-2217,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2000-07-05,Filipino,Single,Male,Manila,Paid,0,False,15,,3.0,Yes
25-8916,Information Systems (BS‑IS),2006-01-01,Filipino,Single,Female,Manila,Paid,0,False,24,,2.0,No
25-2753,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2003-04-20,Filipino,Single,Female,Pasay,Paid,0,True,24,,4.0,Yes
25-4700,Business Solutions & Applications (BSBA‑BSAA),2001-11-28,Filipino,Single,Female,Pasay,Paid,0,False,15,,4.0,Yes
25-8109,Information Systems (BS‑IS),2001-09-02,Filipino,Single,Female,Marikina,Paid,0,True,15,,3.5,Yes
25-9897,Human Resource Management (BSBA‑HRM),2005-01-07,Filipino,Single,Female,Makati,Paid,0,False,24,,3.0,Yes
25-7288,Cybersecurity (BSCSEC),2001-09-24,Japanese,Single,Female,San Juan,Paid,0,False,24,,3.5,Yes
25-5478,Cybersecurity (BSCSEC),2003-06-18,Filipino,Single,Female,Makati,Paid,0,False,18,,4.0,Yes
25-3526,Human Resource Management (BSBA‑HRM),2002-12-13,Filipino,Single,Male,Las Piñas,With Balance,13349,False,18,monitoring,3.5,No
25-9395,Human Resource Management (BSBA‑HRM),2005-09-03,Filipino,Single,Female,Manila,Paid,0,False,15,,3.0,Yes
25-4977,Human Resource Management (BSBA‑HRM),2006-03-05,Filipino,Single,Male,Makati,Paid,0,False,21,,4.0,Yes
25-5123,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-10-20,Filipino,Single,Female,Manila,Paid,0,False,24,,3.5,Yes
25-6484,Human Resource Management (BSBA‑HRM),2002-05-11,Filipino,Single,Female,Muntinlupa,Paid,0,False,21,,3.0,Yes
25-9044,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2005-07-09,Filipino,Single,Male,Rodriguez,With Balance,15895,False,15,,3.5,Yes
25-4434,Human Resource Management (BSBA‑HRM),2001-07-22,Filipino,Single,Male,Marikina,With Balance,35856,False,24,restrictions,3.5,No
25-7566,Human Resource Management (BSBA‑HRM),2006-09-02,Filipino,Single,Male,Taguig,Paid,0,False,21,,3.0,Yes
25-7547,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2006-02-01,Filipino,Single,Male,Navotas,Paid,0,False,18,,4.0,Yes
25-2712,Business Solutions & Applications (BSBA‑BSAA),2001-02-27,Filipino,Single,Female,Muntinlupa,Paid,0,False,24,,4.0,Yes
25-8412,Business Solutions & Applications (BSBA‑BSAA),2001-01-28,Filipino,Single,Male,San Juan,Paid,0,False,21,,1.0,No
25-4798,Cybersecurity (BSCSEC),2002-11-22,Filipino,Single,Male,Navotas,Paid,0,False,18,,3.0,Yes
25-2025,Human Resource Management (BSBA‑HRM),2002-06-11,Filipino,Single,Female,Antipolo,Paid,0,False,24,,3.0,Yes
25-6700,Human Resource Management (BSBA‑HRM),2002-11-23,Filipino,Single,Male,Imus,Paid,0,False,21,monitoring,3.0,No
25-9369,Human Resource Management (BSBA‑HRM),2006-07-06,Filipino,Single,Male,San Mateo,Paid,0,False,18,,3.5,Yes
25-1878,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-03-07,Filipino,Single,Female,Valenzuela,Paid,0,False,24,,4.0,Yes
25-1505,Cybersecurity (BSCSEC),2000-05-08,Filipino,Single,Female,Rodriguez,With Balance,28013,False,15,,3.5,Yes
25-9898,Cybersecurity (BSCSEC),2000-12-15,Filipino,Married,Male,Bacoor,Paid,0,False,15,,3.5,Yes
25-2425,Human Resource Management (BSBA‑HRM),2003-04-26,Filipino,Single,Female,Mandaluyong,With Balance,36657,False,18,,3.0,Yes
25-9720,Business Solutions & Applications (BSBA‑BSAA),2005-12-10,Filipino,Single,Male,Pasig,With Balance,11942,False,21,,4.0,Yes
25-3174,Business Solutions & Applications (BSBA‑BSAA),2003-11-13,Filipino,Single,Female,Bacoor,Paid,0,False,15,,3.0,Yes
25-7046,Human Resource Management (BSBA‑HRM),2000-12-03,Filipino,Single,Female,Makati,Paid,0,False,24,,3.5,Yes
25-6289,Cybersecurity (BSCSEC),2002-10-28,Filipino,Single,Male,Quezon City,Paid,0,True,24,advising,3.5,No
25-1011,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2002-11-10,Filipino,Single,Female,Makati,Paid,0,False,21,,3.0,Yes
25-1848,Human Resource Management (BSBA‑HRM),2003-07-21,Filipino,Single,Male,Malabon,Paid,0,True,18,,3.5,Yes
25-1132,Information Systems (BS‑IS),2006-12-05,Filipino,Single,Male,Taguig,Paid,0,False,21,advising,3.0,No
25-3340,Business Intelligence & Analytics (BSBA‑BIA),2002-08-12,Filipino,Single,Male,Valenzuela,Paid,0,False,18,advising,4.0,No
25-3017,Human Resource Management (BSBA‑HRM),2006-06-26,Filipino,Single,Male,San Juan,Paid,0,False,21,,3.0,Yes
25-5942,Business Solutions & Applications (BSBA‑BSAA),2003-12-13,Filipino,Single,Male,Malabon,Paid,0,False,15,,1.0,No
25-6916,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2006-06-18,Filipino,Single,Male,Manila,Paid,0,False,18,advising,2.0,No
25-7520,Human Resource Management (BSBA‑HRM),2006-07-23,Filipino,Single,Male,Marikina,Paid,0,True,15,,4.0,Yes
25-3545,Human Resource Management (BSBA‑HRM),2001-05-23,Filipino,Single,Male,Quezon City,With Balance,13800,False,24,,4.0,Yes
25-3877,Business Intelligence & Analytics (BSBA‑BIA),2000-03-16,Chinese,Single,Female,Mandaluyong,With Balance,38621,False,21,,4.0,Yes
25-1480,Business Solutions & Applications (BSBA‑BSAA),2001-05-23,Japanese,Single,Female,Navotas,Paid,0,False,18,,3.5,Yes
25-2685,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2001-04-24,Filipino,Single,Male,San Juan,Paid,0,True,21,,4.0,Yes
25-1579,Human Resource Management (BSBA‑HRM),2006-04-11,Filipino,Single,Female,Marikina,Paid,0,False,15,,2.0,No
25-3938,Business Solutions & Applications (BSBA‑BSAA),2000-07-03,Filipino,Single,Female,Muntinlupa,Paid,0,True,24,advising,3.5,No
25-5979,Cybersecurity (BSCSEC),2005-10-16,American,Single,Male,Pasig,Paid,0,True,24,restrictions,3.5,No
25-1157,Interactive Entertainment & Multimedia Computing (BS‑IEMC),1995-07-28,Filipino,Single,Male,Antipolo,Paid,0,False,15,,4.0,Yes
25-5584,Business Intelligence & Analytics (BSBA‑BIA),2006-12-12,Filipino,Single,Male,Antipolo,With Balance,12452,False,15,,1.0,No
25-4879,Business Solutions & Applications (BSBA‑BSAA),2006-12-27,Filipino,Single,Female,San Juan,Paid,0,True,18,restrictions,4.0,No
25-2731,Business Intelligence & Analytics (BSBA‑BIA),2006-02-18,Filipino,Single,Female,Las Piñas,With Balance,12962,False,18,,3.5,Yes
25-1660,Business Solutions & Applications (BSBA‑BSAA),2002-02-23,Filipino,Single,Male,Imus,With Balance,15697,False,15,,2.0,No
